year,category,revenue,qty,orders,AOV
2025,АЛКОГОЛЬ,2439038.0335,3325.39,1617.0,1508.3723150896722
2025,БЕЗАЛКОГОЛЬНЫЕ НАПИТКИ,928632.5309999998,2601.2,1861.0,498.9965239118753
2025,ГАРНИРЫ,179051.11449999997,581.0,482.0,371.47534128630696
2025,ДЕСЕРТЫ,1126083.9185000001,2991.433,2413.0,466.6738162038956
2025,ДЕТСКОЕ МЕНЮ,383038.3985,1409.0,1174.0,326.2678011073254
2025,ДОПЫ,552985.9365,3641.5,2651.0,208.59522312334965
2025,ЗАВТРАК,1175539.5449999997,2081.0,1843.0,637.8402306022788
2025,ЗАКУСКИ,1028791.9070000002,1798.5,1437.0,715.9303458594295
2025,КОФЕ,916684.5824999996,3807.0,2900.0,316.0981318965516
2025,МЯСО,1080970.8910000003,936.0,783.0,1380.5503077905496
2025,ПАНАЗИЯ,493374.01699999976,876.0,728.0,677.7115618131864
2025,ПАСТА,2023964.0190000006,2642.0,2381.0,850.0478870222598
2025,ПИЦЦА,879094.0040000002,1093.0,1047.0,839.6313314231138
2025,РЫБА,1050787.0510000002,846.0,692.0,1518.4783973988442
2025,САЛАТЫ,1573532.9115000009,2360.0,1887.0,833.8807162162167
2025,СПЕШЛ,231413.40099999995,392.75,315.0,734.6457174603173
2025,СУПЫ,574616.694,1183.0,1055.0,544.6603734597156
2025,ХЛЕБ,127140.11849999997,453.0,392.0,324.3370369897958
2025,ЧАЙНАЯ КАРТА,1067080.378,2011.08,1891.0,564.2942242199895
2026,АЛКОГОЛЬ,1992614.166,2542.99,1314.0,1516.4491369863013
2026,БЕЗАЛКОГОЛЬНЫЕ НАПИТКИ,925475.5205000001,2366.2099999999996,1630.0,567.7763929447854
2026,ГАРНИРЫ,335880.2114999999,927.0,796.0,421.9600646984924
2026,ДЕСЕРТЫ,1064519.5575,2483.0,1938.0,549.2876973684212
2026,ДЕТСКОЕ МЕНЮ,295074.45699999994,979.5,875.0,337.2279508571428
2026,ДОПЫ,461467.51599999977,3127.8999999999996,2221.0,207.77465826204403
2026,ЗАВТРАК,999003.8099999999,1762.66,1568.0,637.1197767857143
2026,ЗАКУСКИ,947802.1560000002,1557.5,1373.0,690.3147530954117
2026,КОФЕ,895939.1085,3214.0,2396.0,373.93118050918196
2026,МЯСО,1021602.8875000002,996.0,853.0,1197.6587192262605
2026,ПАНАЗИЯ,447824.82050000003,741.0,611.0,732.9375130932898
2026,ПАСТА,1909572.5829999994,2488.0,2259.0,845.3176551571489
2026,ПИЦЦА,878818.7399999999,1070.0,1042.0,843.3961036468329
2026,РЫБА,676543.1265000001,695.0,596.0,1135.139473993289
2026,САЛАТЫ,1391808.7850000001,2009.0,1669.0,833.9177860994608
2026,СПЕШЛ,187948.63400000005,359.66,314.0,598.5625286624205
2026,СУПЫ,515503.98799999995,966.0,862.0,598.0324686774942
2026,ХЛЕБ,110034.73550000001,412.0,387.0,284.3274819121447
2026,ЧАЙНАЯ КАРТА,967162.2490000001,1809.5,1703.0,567.9167639459778
